cfips,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,county,state,K-means_Silhouette,K-means_Elbow
1001,3.0076818,2.8848701,3.0558431,2.9932332,2.9932332,2.96909,2.9093256,2.9332314,3.0001674,3.0049484,3.0192919,3.0838373,3.174679,3.2057564,3.1938035,3.0384164,3.002558,2.9472437,3.1061056,3.1440427,3.2246592,3.2270303,3.2222881,3.2104328,3.2199171,3.186722,3.2033195,3.2009485,3.2863071,3.2967808,3.3344314,3.3367846,3.372082,3.3132529,3.3461974,3.4379706,3.4238517,3.442677,3.4638555,3.442677,3.4709148,,,,,,,82,0,0,0
1003,7.2391562,7.2909365,7.4254394,7.4260707,7.4702735,7.4136553,7.2825217,7.3096104,7.568799,7.6032753,7.7085514,7.7830448,7.853229,8.4122391,8.3291264,8.2632523,8.2244663,8.0110445,7.9090009,7.9780307,8.0326538,8.0614662,8.0770731,7.9840331,7.9186049,7.802155,7.8321676,7.9005971,7.9300098,7.733397,7.8232999,7.9453111,7.9791703,7.9073648,8.5074959,8.5734634,8.4911499,8.3417006,8.3597984,8.2576361,8.2506304,,,,,,,89,0,0,3
1005,1.0731378,0.99579448,1.1601489,1.0006285,1.0006285,1.027229,1.022314,1.032144,1.0862086,1.0812936,0.99773914,0.9879092,0.9829942,1.022314,1.0370588,1.032144,1.032144,1.1119976,1.0721053,1.0571457,1.1020246,1.097038,1.1070111,1.1469034,1.1568764,1.1219707,1.1369303,1.1518899,1.1518899,1.1866289,1.2068269,1.196728,1.1916784,1.1866289,1.1916784,1.2169259,1.196728,1.2068269,1.2320744,1.2472228,1.2522722,,,,,,,100,0,0,0
1007,1.3107775,1.3051759,1.2547613,1.2547613,1.2659646,1.2536378,1.2480412,1.2648309,1.2704276,1.2872174,1.3040072,1.3431834,1.3040072,1.320797,1.3263936,1.320797,1.3096038,1.3100437,1.2876498,1.2876498,1.2596574,1.2596574,1.2372634,1.2372634,1.2092711,1.1868771,1.1868771,1.231665,1.2092711,1.2141652,1.2366498,1.2647555,1.2535132,1.247892,1.2759978,1.3265879,1.2928611,1.3153456,1.28724,1.2759978,1.28724,,,,,,,149,0,1,4
1009,1.5441476,1.5758922,1.5464151,1.5736247,1.555485,1.5732168,1.5369989,1.5415261,1.5777441,1.5754805,1.5709532,1.602644,1.6049075,1.6479163,1.6411254,1.6411254,1.6139621,1.6120293,1.6887926,1.7000812,1.7023391,1.7204009,1.7136277,1.7158855,1.71137,1.729432,1.7316897,1.7339474,1.7520094,1.7529234,1.7777077,1.7979857,1.764189,1.7484171,1.7732015,1.8317825,1.8362887,1.8520604,1.8317825,1.8362887,1.8520604,,,,,,,164,0,0,0
1011,0.92637151,0.99855632,0.9744947,1.0226179,1.0346487,1.0607169,1.0363326,1.0607169,1.0119483,0.89002681,0.92660326,0.91441113,0.95098758,0.92660326,0.93879539,0.87783468,0.87783468,0.86206895,0.80049258,0.82512313,0.86206895,0.87438422,0.87438422,0.8374384,0.82512313,0.80049258,0.7758621,0.80049258,0.8374384,0.84874588,0.87408155,0.92475295,0.91208512,0.91208512,0.93742085,0.95008868,0.96275651,0.97542435,0.98809224,1.013428,1.0260957,,,,,,,225,0,0,3
1013,0.6749807,0.73926461,0.71355104,1.0542556,1.0542556,1.0608706,1.0608706,1.0091209,0.99618345,0.99618345,1.0026522,0.76330942,0.76977813,0.78271556,0.80212176,0.77624685,0.76330942,0.7610746,1.7368113,1.7303064,1.7303064,1.8604046,1.8864243,1.8864243,1.8929292,1.9189488,1.9189488,1.9514734,1.9189488,1.9771615,1.944535,1.9771615,1.8531811,1.8075041,1.9836868,2.0424144,2.1076672,2.1663947,2.1859705,2.1859705,2.1990211,,,,,,,235,0,0,0
1015,2.6915436,2.7037525,2.6937635,2.73927,2.7292807,2.7196281,2.7452114,2.7563348,2.8186247,2.8341973,2.8531067,2.8875887,2.9176214,2.8864763,2.9064982,2.8920381,2.8831394,2.8806906,2.7022505,2.6989048,2.6899829,2.6498339,2.6420271,2.6855218,2.6710236,2.6654472,2.6888676,2.6832914,2.6966743,2.7011335,2.7067165,2.7178829,2.7078333,2.6910837,2.7245827,2.7826476,2.7882307,2.8094468,2.8005137,2.7837641,2.7915807,,,,,,,248,0,0,3
1017,1.4865423,1.3551559,1.3551559,1.3626637,1.3438942,1.3199105,1.3310962,1.3012677,1.3273677,1.3422819,1.3422819,1.349739,1.3795675,1.3795675,1.3795675,1.3609247,1.3385533,1.3837187,1.2821959,1.2821959,1.2934762,1.2821959,1.252115,1.2709156,1.2821959,1.3536379,1.3724384,1.3761985,1.4025192,1.4123334,1.4387674,1.4576489,1.4803066,1.4878592,1.4689778,1.5482799,1.5218458,1.5029644,1.4425437,1.4689778,1.472754,,,,,,,296,0,0,0
1019,1.1042767,1.0897467,1.0849034,1.0849034,1.0897467,1.079399,1.0696747,1.0745369,1.0599504,1.0842612,1.0599504,1.0745369,1.2106773,1.2058152,1.2155395,1.2349881,1.264161,1.2489108,1.1859813,1.1956627,1.2343886,1.2295479,1.2150257,1.2101849,1.2150257,1.2150257,1.2005035,1.2198664,1.2150257,1.1934196,1.32655,1.2171929,1.2409662,1.2457209,1.117345,1.1411183,1.131609,1.131609,1.117345,1.1363636,1.145873,,,,,,,318,0,1,2
